Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.66
Sumatera Utara,5.03
Sumatera Barat,4.36
Riau,3.52
Jambi,4.51
Sumatera Selatan,5.03
Bengkulu,4.62
Lampung,4.57
Kepulauan Bangka Belitung,0.77
Kepulauan Riau,5.02
DKI Jakarta,4.9
Jawa Barat,4.95
Jawa Tengah,4.95
DI Yogyakarta,5.03
Jawa Timur,4.93
Banten,4.79
Bali,5.48
Nusa Tenggara Barat,5.3
Nusa Tenggara Timur,3.73
Kalimantan Barat,4.9
Kalimantan Tengah,4.46
Kalimantan Selatan,5.05
Kalimantan Timur,6.17
Kalimantan Utara,4.57
Sulawesi Utara,5.39
Sulawesi Tengah,9.89
Sulawesi Selatan,5.02
Sulawesi Tenggara,5.4
Gorontalo,4.13
Sulawesi Barat,4.76
Maluku,5.34
Maluku Utara,13.73
Papua Barat,20.8
Papua Barat Daya,3.6
Papua,4.11
Papua Selatan,4.55
Papua Tengah,4.36
Papua Pegunungan,4.75
