Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.61
Sumatera Utara,5.18
Sumatera Barat,5.14
Riau,2.35
Jambi,4.69
Sumatera Selatan,6.01
Bengkulu,4.97
Lampung,5.23
Kepulauan Bangka Belitung,4.45
Kepulauan Riau,4.47
DKI Jakarta,6.11
Jawa Barat,5.65
Jawa Tengah,5.3
DI Yogyakarta,6.2
Jawa Timur,5.47
Banten,5.77
Bali,6.31
Nusa Tenggara Barat,-4.5
Nusa Tenggara Timur,5.11
Kalimantan Barat,5.07
Kalimantan Tengah,5.61
Kalimantan Selatan,5.08
Kalimantan Timur,2.64
Kalimantan Utara,5.36
Sulawesi Utara,6
Sulawesi Tengah,20.56
Sulawesi Selatan,7.04
Sulawesi Tenggara,6.4
Gorontalo,6.49
Sulawesi Barat,6.26
Maluku,5.91
Maluku Utara,7.86
Papua Barat,6.25
Papua,7.32
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
